grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
51	GH	0	0	0	NA	NA	0	0	NA	6,7	DG.O.1	DG.O.2	DG.O.7	NA	000
51	WH	2	2	2	NA	NA	25	15	NA	10,11,12,1,2, yearound	DG.O.1	DG.O.2	DG.O.7	NA	222
51	RNH	0	0	0	NA	NA	0	0	NA	na	DG.O.1	DG.O.2	DG.O.7	NA	000
51	OPH	2	2	2	NA	NA	5	3	NA	yearound	DG.O.1	DG.O.2	DG.O.6	NA	222
71	GH	2	1	2	NA	8	4	4	NA	5,6, 9,10,7	IP.O.1	IP.O.2	IP.O.3	NA	212
71	WH	2	2	0	NA	15	12	0	NA	yearound	IP.O.1	IP.O.2	IP.O.3	NA	220
71	OPH	2	0	2	NA	2	0	9	NA	9,10, 11, 12	IP.O.1	IP.O.2	IP.O.3	NA	202
71	RNH	2	2	2	NA	2	8	3	NA	9,10, yearound, 5, 6	IP.O.1	IP.O.2	IP.O.3	NA	222
83	GH	2	2	2	NA	NA	6	2	NA	yearound, winter	DG.O.1	DG.O.4	DG.O.6	NA	222
83	WH	2	2	2	NA	NA	25	30	NA	yearound, yearound	DG.O.1	DG.O.4	DG.O.6	NA	222
83	OPH	2	2	2	NA	NA	3	8	NA	winter, yearound	DG.O.1	DG.O.4	DG.O.6	NA	222
83	RNH	0	0	0	NA	NA	0	0	NA	0	DG.O.1	DG.O.4	DG.O.6	NA	000
84	GH	2	2	0	NA	NA	5	0	NA	7,8,11,12	DG.O.1	DG.O.3	DG.O.5	NA	220
84	WH	0	2	2	NA	NA	20	30	NA	7,8,9, yearound	DG.O.1	DG.O.3	DG.O.5	NA	022
84	RNH	0	0	0	NA	NA	0	0	NA	na	DG.O.1	DG.O.3	DG.O.5	NA	000
84	OPH	2	0	2	NA	NA	0	4	NA	yearound	DG.O.1	DG.O.3	DG.O.5	NA	202
92	GH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
92	WH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
92	OPH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
92	RNH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
93	GH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
93	WH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
93	OPH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
93	RNH	0	0	0	NA	NA	NA	NA	NA	NA	BJ.O.11	BJ.O.12	BJ.O.13	NA	000
112	GH	2	2	2	0	9	17	2	0	6,7,1,2,8	BH.O.271	BH.O.272	BH.O.273	BH.O.274	2220
112	WH	0	0	0	0	NA	NA	NA	NA	NA	BH.O.271	BH.O.272	BH.O.273	BH.O.274	0000
112	OPH	0	0	0	0	NA	NA	NA	NA	NA	BH.O.271	BH.O.272	BH.O.273	BH.O.274	0000
112	RNH	2	0	2	0	5	0	6	0	6,7,8,5	BH.O.271	BH.O.272	BH.O.273	BH.O.274	2020
166	GH	2	0	0	NA	81	NA	NA	NA	year round	EF.O.12	EF.O.13	SC.O.11	NA	200
166	WH	2	2	2	NA	8	NA	NA	NA	year round	EF.O.12	EF.O.13	SC.O.11	NA	222
166	OPH	2	2	2	NA	8	NA	NA	NA	year round	EF.O.12	EF.O.13	SC.O.11	NA	222
166	RNH	2	2	2	NA	40	NA	NA	NA	year round	EF.O.12	EF.O.13	SC.O.11	NA	222
168	GH	2	2	0	NA	1	13	0	NA	3,4,11	BP.O.1	BP.O.2	BP.O.3	NA	220
168	WH	2	2	2	NA	2	3	25	NA	yearound	BP.O.1	BP.O.2	BP.O.3	NA	222
168	OPH	0	2	2	NA	0	16	12	NA	7,8	BP.O.1	BP.O.2	BP.O.3	NA	022
168	RNH	0	0	0	NA	0	0	0	NA	NA	BP.O.1	BP.O.2	BP.O.3	NA	000
169	GH	0	0	2	2	0	0	0	2	3,4,11	BP.O.1	BP.O.2	BP.O.3	BP.O.4	0022
169	WH	0	2	2	2	0	20	6	20	11,12	BP.O.1	BP.O.2	BP.O.3	BP.O.4	0222
169	OPH	1	2	2	2	3	4	5	8	11,12,3,4	BP.O.1	BP.O.2	BP.O.3	BP.O.4	1222
169	RNH	0	0	2	0	0	0	1	0	2	BP.O.1	BP.O.2	BP.O.3	BP.O.4	0020
170	GH	2	2	2	NA	NA	NA	NA	NA	NA	SN.O.11	SN.O.12	SN.O.13	NA	222
