"interview.id"	"grid.id"	"date"	"location"	"sps.known"	"confidence.indv"	"exp.indv"	"purpose.visit.24"	"purpose.visit.04"	"dist.to.grid"	"proportion.grid.24"	"frequency.visits.24"	"proportion.grid.04"	"frequency.visits.04"	"activity1.grid.24"	"activity2.grid.24"	"activity3.grid.24"	"activity1.grid.04"	"activity2.grid.04"	"activity3.grid.04"	"hunting.24"	"hunting.04"	"food.trees"	"meat.eaten"	"body.parts"	"use.body.parts"	"season.hunting"	"gender.respondent"	"age.respondent"	"ethnicity.respondent"	"Comments"	"replicates"	"road_length"	"mean_elev"	"elev_band"	"canopy_height"	"slope"	"aspect"	"geometry"	"agricuture"	"scrub_forest"	"shifting_cultivation"	"alpine_sub_alpine"	"evergreen_deciduous_forest"	"area_pa"	"ndvi_nov_mean"
"1"	"DG.O.1"	51	"15/11/25"	"darlong"	"gh,wh,oph,rnh"	2	40	"Nest monitor"	"logging"	"10"	"01/02/26"	"4"	"01/02/26"	"4"	"plantation"	"jhum"	NA	"logging"	"jhum"	NA	"yes"	"yes"	"peepal"	"yes"	"beak; tail"	"meat, ritual, export"	"7,8,9"	"m"	54	"nyishi"	NA	3	0	327.856402164112	"0-1000m"	15.0405271808496	8.50347953769327	185.411490438969	"list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))"	179343.287913925	1672371.48558932	0	0	13995159.9701037	NA	0.793616668099449
"2"	"DG.O.2"	51	"16/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"wood, agriculture"	"forage"	"8"	"03/04/26"	"20"	"03/04/26"	"20"	"rubber"	"agriculture"	NA	"arecanut"	"agriculture"	NA	"yes"	"yes"	"kalakari, dawath, cluster ficus, lissia, lota ficus, peepal"	"yes"	"tail"	"meat,trophy, therapeutic oil"	"7,8,9"	"m"	41	"nyishi"	NA	3	0	327.856402164112	"0-1000m"	15.0405271808496	8.50347953769327	185.411490438969	"list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))"	179343.287913925	1672371.48558932	0	0	13995159.9701037	NA	0.793616668099449
"3"	"DG.O.7"	51	"19/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"agriculture"	"forage"	"4"	"03/04/26"	"2"	"03/04/26"	"2"	"plantation"	"jhum"	NA	"logging"	"jhum"	NA	"no"	"yes"	"bhelu"	"yes"	"tail"	"meat, trophy, therapeutic oil"	"7,8,9"	"m"	42	"nyishi"	NA	3	0	327.856402164112	"0-1000m"	15.0405271808496	8.50347953769327	185.411490438969	"list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))"	179343.287913925	1672371.48558932	0	0	13995159.9701037	NA	0.793616668099449
"4"	"IP.O.1"	71	"28/11/25"	"yelloripam"	"gh,wh,oph,rnh"	2	20	"agriculture"	"agriculture"	"-"	"1"	"3"	"03/04/26"	"2"	"forest"	"jhum"	"orange & teak plantations"	"forest"	"jhum"	NA	"no"	"no"	"lamshing, rubber, bamchom, karshing"	"na"	"na"	"na"	"na"	"m"	40	"monpa"	NA	3	9187.44178557118	1069.607690147	"1000-2000m"	28.2498607353175	26.1114847471302	201.834006315267	"list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))"	0	1243872.72012074	756922.487727906	0	22761371.7654018	3287839.04476598	0.843795000016689
"5"	"IP.O.2"	71	"28/11/25"	"yelloripam"	"gh,wh,oph,rnh"	1	40	"agriculture"	"agriculture"	"-"	"1"	"25"	"1"	"25"	"forest"	"different plantations - hollong, kokun, banana, pineapple"	"jhum"	"forest"	"different plantations - hollong, kokun, banana, pineapple"	"jhum"	"no"	"no"	"bonchum, tokko patti, pani bonchum"	"na"	"na"	"na"	"na"	"m"	40	"monpa"	NA	3	9187.44178557118	1069.607690147	"1000-2000m"	28.2498607353175	26.1114847471302	201.834006315267	"list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))"	0	1243872.72012074	756922.487727906	0	22761371.7654018	3287839.04476598	0.843795000016689
"6"	"IP.O.3"	71	"28/11/25"	"yelloripam"	"gh,wh,oph,rnh"	2	30	"agriculture"	"agriculture, fishing"	"-"	"03/04/26"	"3"	"1"	"51"	"forest"	"jhum"	NA	"forest"	"jhum"	NA	"no"	"yes"	"ficus religiosa"	"yes"	"no"	"medicinal oil"	"no"	"m"	41	"monpa"	NA	3	9187.44178557118	1069.607690147	"1000-2000m"	28.2498607353175	26.1114847471302	201.834006315267	"list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))"	0	1243872.72012074	756922.487727906	0	22761371.7654018	3287839.04476598	0.843795000016689
"7"	"DG.O.1"	83	"15/11/25"	"darlong"	"gh,wh,oph,rnh"	2	40	"forage"	"forage"	"3"	"1"	"5"	"1"	"5"	"logging"	"jhum"	NA	"jhum"	"jhum"	NA	"no"	"yes"	"don't know"	"yes"	"beak, tail, feather, oil"	"meat, tradition, therapeutic oil"	"7,8,9"	"m"	54	"nyishi"	NA	3	4499.48641783733	228.014637495709	"0-1000m"	24.447225640452	8.91365565292872	172.780850523034	"list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))"	861016.834369878	271854.876931886	9575.24035543681	0	20293803.9327649	23450473.7965446	0.753050002313796
"8"	"DG.O.4"	83	"16/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"agriculture"	"forage"	"2"	"03/04/26"	"30"	"03/04/26"	"30"	"jhum"	"jhum"	NA	"agriculture"	"jhum"	NA	"yes"	"yes"	"khari, ficus, lisia, amsilin, ramtamool, boromtri, sanchar, toko, multiple types of jamun"	"yes"	"beak; tail"	"meat, ritual, export"	"7,8,9"	"m"	41	"nyishi"	NA	3	4499.48641783733	228.014637495709	"0-1000m"	24.447225640452	8.91365565292872	172.780850523034	"list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))"	861016.834369878	271854.876931886	9575.24035543681	0	20293803.9327649	23450473.7965446	0.753050002313796
"9"	"DG.O.6"	83	"19/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"random"	"forage"	"1"	"01/02/26"	"3"	"01/02/26"	"3"	"Tiger reserve"	"jhum"	NA	"jhum"	"timber"	NA	"yes"	"yes"	"peepal tokko"	"yes"	"beak, tail, feather, oil"	"meat, tradition, therapeutic oil"	"7,8,9"	"m"	42	"nyishi"	NA	3	4499.48641783733	228.014637495709	"0-1000m"	24.447225640452	8.91365565292872	172.780850523034	"list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))"	861016.834369878	271854.876931886	9575.24035543681	0	20293803.9327649	23450473.7965446	0.753050002313796
"10"	"DG.O.1"	84	"15/11/25"	"darlong"	"gh,wh,oph,rnh"	2	40	"Nest monitor"	"forage"	"11"	"01/04/26"	"3"	"01/04/26"	"3"	"plantation"	"jhum"	NA	"logging"	"timber"	NA	"no"	"yes"	"peepal"	"yes"	"beak; tail"	"meat, ritual, export"	"7,8,9"	"m"	54	"nyishi"	NA	3	3445.5156226583	304.597609313068	"0-1000m"	21.0083802303721	11.5620731082483	191.404294672542	"list(c(93.0182174675378, 93.0182246721192, 93.0686160116397, 93.0685887167245, 93.0182174675378, 26.9455430311263, 26.9906862098143, 26.9906707385105, 26.9455275898205, 26.9455430311263))"	962019.658362771	1218327.69166379	14238.7906377674	0	21458485.2908892	1815657.51738226	0.812114288409551
