interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist.to.grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food.trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates	road_length	mean_elev	elev_band	canopy_height	slope	aspect	geometry
DG.O.1	51	15/11/25	darlong	gh,wh,oph,rnh	2	40	Nest monitor	logging	10	01/02/26	4	01/02/26	4	plantation	jhum	NA	logging	jhum	NA	yes	yes	peepal	yes	beak; tail	meat, ritual, export	7,8,9	m	54	nyishi	NA	3	0	327.856402164112	0-1000m	15.0405271808496	8.503479537693266	185.4114904389689	list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))
DG.O.2	51	16/11/25	darlong	gh,wh,oph,rnh	2	30	wood, agriculture	forage	8	03/04/26	20	03/04/26	20	rubber	agriculture	NA	arecanut	agriculture	NA	yes	yes	kalakari, dawath, cluster ficus, lissia, lota ficus, peepal	yes	tail	meat,trophy, therapeutic oil	7,8,9	m	41	nyishi	NA	3	0	327.856402164112	0-1000m	15.0405271808496	8.503479537693266	185.4114904389689	list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))
DG.O.7	51	19/11/25	darlong	gh,wh,oph,rnh	2	30	agriculture	forage	4	03/04/26	2	03/04/26	2	plantation	jhum	NA	logging	jhum	NA	no	yes	bhelu	yes	tail	meat, trophy, therapeutic oil	7,8,9	m	42	nyishi	NA	3	0	327.856402164112	0-1000m	15.0405271808496	8.503479537693266	185.4114904389689	list(c(93.018210279844, 93.0182174675378, 93.0685887167245, 93.0685614857882, 93.018210279844, 26.900399563465, 26.9455430311263, 26.9455275898205, 26.900384152134, 26.900399563465))
IP.O.1	71	28/11/25	yelloripam	gh,wh,oph,rnh	2	20	agriculture	agriculture	-	1	3	03/04/26	2	forest	jhum	orange & teak plantations	forest	jhum	NA	no	no	lamshing, rubber, bamchom, karshing	na	na	na	na	m	40	monpa	NA	3	9187.44178557118	1069.607690147	1000-2000m	28.249860735317522	26.111484747130216	201.83400631526717	list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))
IP.O.2	71	28/11/25	yelloripam	gh,wh,oph,rnh	1	40	agriculture	agriculture	-	1	25	1	25	forest	different plantations - hollong, kokun, banana, pineapple	jhum	forest	different plantations - hollong, kokun, banana, pineapple	jhum	no	no	bonchum, tokko patti, pani bonchum	na	na	na	na	m	40	monpa	NA	3	9187.44178557118	1069.607690147	1000-2000m	28.249860735317522	26.111484747130216	201.83400631526717	list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))
IP.O.3	71	28/11/25	yelloripam	gh,wh,oph,rnh	2	30	agriculture	agriculture, fishing	-	03/04/26	3	1	51	forest	jhum	NA	forest	jhum	NA	no	yes	ficus religiosa	yes	no	medicinal oil	no	m	41	monpa	NA	3	9187.44178557118	1069.607690147	1000-2000m	28.249860735317522	26.111484747130216	201.83400631526717	list(c(92.1619420714983, 92.1616078019924, 92.2119930143834, 92.2123072040659, 92.1619420714983, 26.9430541682155, 26.9881925118589, 26.9884833195586, 26.9433444120774, 26.9430541682155))
DG.O.1	83	15/11/25	darlong	gh,wh,oph,rnh	2	40	forage	forage	3	1	5	1	5	logging	jhum	NA	jhum	jhum	NA	no	yes	don't know	yes	beak, tail, feather, oil	meat, tradition, therapeutic oil	7,8,9	m	54	nyishi	NA	3	4499.48641783733	228.014637495709	0-1000m	24.44722564045195	8.913655652928723	172.78085052303425	list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))
DG.O.4	83	16/11/25	darlong	gh,wh,oph,rnh	2	30	agriculture	forage	2	03/04/26	30	03/04/26	30	jhum	jhum	NA	agriculture	jhum	NA	yes	yes	khari, ficus, lisia, amsilin, ramtamool, boromtri, sanchar, toko, multiple types of jamun	yes	beak; tail	meat, ritual, export	7,8,9	m	41	nyishi	NA	3	4499.48641783733	228.014637495709	0-1000m	24.44722564045195	8.913655652928723	172.78085052303425	list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))
DG.O.6	83	19/11/25	darlong	gh,wh,oph,rnh	2	30	random	forage	1	01/02/26	3	01/02/26	3	Tiger reserve	jhum	NA	jhum	timber	NA	yes	yes	peepal tokko	yes	beak, tail, feather, oil	meat, tradition, therapeutic oil	7,8,9	m	42	nyishi	NA	3	4499.48641783733	228.014637495709	0-1000m	24.44722564045195	8.913655652928723	172.78085052303425	list(c(92.9678462014637, 92.9678333156822, 93.0182246721192, 93.0182174675378, 92.9678462014637, 26.9455404883314, 26.9906836620794, 26.9906862098143, 26.9455430311263, 26.9455404883314))
DG.O.1	84	15/11/25	darlong	gh,wh,oph,rnh	2	40	Nest monitor	forage	11	01/04/26	3	01/04/26	3	plantation	jhum	NA	logging	timber	NA	no	yes	peepal	yes	beak; tail	meat, ritual, export	7,8,9	m	54	nyishi	NA	3	3445.5156226583	304.597609313068	0-1000m	21.008380230372136	11.562073108248315	191.4042946725419	list(c(93.0182174675378, 93.0182246721192, 93.0686160116397, 93.0685887167245, 93.0182174675378, 26.9455430311263, 26.9906862098143, 26.9906707385105, 26.9455275898205, 26.9455430311263))
