"","grid.id","X1","X2","X3","X4","X5"
"1",51,"0.5","0.75","0.75",NA,NA
"2",71,"1","0.75","1",NA,NA
"3",75,"1","1","1",NA,NA
"4",83,"1","0.5","0.75",NA,NA
"5",84,"1","0.5","0.25",NA,NA
"6",92,"1","1","1",NA,NA
"7",93,"1","1","1",NA,NA
"8",166,"1","1","1",NA,NA
"9",168,"0.25","1","0.5",NA,NA
"10",170,"1","1","1",NA,NA
"11",184,"1","1","1",NA,NA
"12",185,"1","1","1",NA,NA
"13",213,"1","na","0.5",NA,NA
"14",216,"1","1","1",NA,NA
"15",271,"1","1","1",NA,NA
"16",272,"1","1","1",NA,NA
"17",280,"0.5","1","1",NA,NA
"18",282,"1","1","0.75",NA,NA
"19",320,"1","1","1",NA,NA
"20",339,"1","1","1",NA,NA
"21",340,"1","1","1",NA,NA
"22",341,"1","1","0.5",NA,NA
"23",375,"0.75","0.75","0.75",NA,NA
"24",417,"1","1","1",NA,NA
"25",424,"1","0.75","0.75",NA,NA
"26",426,"1","1","1",NA,NA
"27",431,"1","1","0.75",NA,NA
"28",486,"0.75","0.75","0.75",NA,NA
"29",487,"0.75","0.5","0.5",NA,NA
"30",520,"1","1","1",NA,NA
"31",580,"1","1","1",NA,NA
"32",643,"0.5","1","1",NA,NA
"33",652,"1","1","1",NA,NA
"34",653,"1","1","0.75",NA,NA
"35",654,"1","1","1",NA,NA
"36",717,"0.5","0.5","1",NA,NA
"37",718,"1","0.5","0.5",NA,NA
"38",752,"1","1","1",NA,NA
"39",782,"1","1","1",NA,NA
"40",783,"1","1","1",NA,NA
"41",804,"1","1","1",NA,NA
"42",825,"0.75","0.75","0.75",NA,NA
"43",875,"1","1","1",NA,NA
"44",878,"1","1","0.75",NA,NA
"45",936,"1","1","1",NA,NA
"46",981,"1","1","1",NA,NA
"47",982,"0.75","0.75","0.75",NA,NA
"48",993,"1","1","1",NA,NA
"49",1116,"1","1","1",NA,NA
"50",1120,"1","1","1",NA,NA
"51",1165,"1","1","1",NA,NA
"52",1166,"1","1","1",NA,NA
"53",1167,"0.5","1","1",NA,NA
"54",1180,"0.75","0.75","0.75",NA,NA
"55",1297,"1","1","1",NA,NA
"56",1383,"1","0.5","0.75",NA,NA
"57",1390,"1","1","0.75",NA,NA
"58",1391,"0.5","0.75","0.5",NA,NA
"59",1439,"1","1","1",NA,NA
"60",1508,"1","1","0.75",NA,NA
"61",1580,"1","1","0.75",NA,NA
"62",1608,"1","0.75","0.75",NA,NA
"63",1610,"1","1","1",NA,NA
"64",1611,"1","0.5","0.75",NA,NA
"65",1678,"1","1","1",NA,NA
"66",1777,"1","1","0.75",NA,NA
"67",1830,"1","1","1",NA,NA
"68",1883,"1","1","1",NA,NA
"69",1928,"1","1","1",NA,NA
"70",1929,"1","1","0.75",NA,NA
"71",112,"0.5","0.5","0.5","na",NA
"72",169,"0.5","0.5","0.5","0.5",NA
"73",264,"1","na","0.75","0.5",NA
"74",423,"1","1","0.75","0.75",NA
"75",438,"1","1","0.75","0.75",NA
"76",439,"1","1","1","0.5",NA
"77",528,"1","0.75","1","0.75",NA
"78",529,"1","1","1","1",NA
"79",550,"1","1","1","1",NA
"80",553,"1","0.5","na","0.5",NA
"81",554,"1","0.5","na","0.5",NA
"82",693,"0.5","1","1","1",NA
"83",775,"1","1","0.5","0.5",NA
"84",814,"1","1","0.75","0.75",NA
"85",1218,"1","1","1","na",NA
"86",1251,"1","0.75","0.5","0.5",NA
"87",1290,"1","1","0.75","na",NA
"88",1291,"1","1","na","0.75",NA
"89",1385,"0.75","0.75","0.75","0.75",NA
"90",1457,"1","1","1","1",NA
"91",1776,"1","1","1","1",NA
"92",1927,"1","1","1","1",NA
"93",584,"1","1","0.75","0.5","0.5"
