"","grid.id","X1","X2","X3","X4","X5"
"1",51,"4","2","20",NA,NA
"2",71,"25","3","3",NA,NA
"3",75,"30","30","30",NA,NA
"4",83,"5","3","30",NA,NA
"5",84,"30","3","3",NA,NA
"6",92,"50","100","50",NA,NA
"7",93,"50","100","100",NA,NA
"8",166,"24","24","24",NA,NA
"9",168,"24","3","10",NA,NA
"10",170,"100","100","100",NA,NA
"11",184,"50","50","50",NA,NA
"12",185,"50","50","50",NA,NA
"13",213,"10","na","3",NA,NA
"14",216,"24","24","50",NA,NA
"15",271,"100","100","100",NA,NA
"16",272,"3","3","3",NA,NA
"17",280,"7","2","12",NA,NA
"18",282,"36","1","4",NA,NA
"19",320,"50","12","30",NA,NA
"20",339,"3","100","100",NA,NA
"21",340,"3","100","100",NA,NA
"22",341,"50","50","50",NA,NA
"23",375,"36","1","1",NA,NA
"24",417,"50","24","12",NA,NA
"25",424,"25","3","3",NA,NA
"26",426,"3","6","30",NA,NA
"27",431,"24","24","2",NA,NA
"28",486,"2","4","4",NA,NA
"29",487,"2","2","2",NA,NA
"30",520,"100","100","100",NA,NA
"31",580,"100","100","100",NA,NA
"32",643,"50","30","50",NA,NA
"33",652,"30","24","24",NA,NA
"34",653,"5","5","2",NA,NA
"35",654,"50","50","50",NA,NA
"36",717,"50","50","50",NA,NA
"37",718,"50","50","50",NA,NA
"38",752,"6","6","24",NA,NA
"39",782,"100","100","100",NA,NA
"40",783,"100","100","100",NA,NA
"41",804,"30","30","30",NA,NA
"42",825,"15","15","15",NA,NA
"43",875,"50","50","50",NA,NA
"44",878,"50","30","12",NA,NA
"45",936,"30","30","12",NA,NA
"46",981,"50","50","50",NA,NA
"47",982,"50","50","50",NA,NA
"48",993,"3","12","12",NA,NA
"49",1116,"5","7","10",NA,NA
"50",1120,"100","100","100",NA,NA
"51",1165,"4","12","12",NA,NA
"52",1166,"15","12","12",NA,NA
"53",1167,"3","12","12",NA,NA
"54",1180,"50","50","50",NA,NA
"55",1297,"50","50","50",NA,NA
"56",1383,"5","50","4",NA,NA
"57",1390,"30","30","2",NA,NA
"58",1391,"12","2","12",NA,NA
"59",1439,"3","36","12",NA,NA
"60",1508,"50","10","1",NA,NA
"61",1580,"3","4","4",NA,NA
"62",1608,"4","3","3",NA,NA
"63",1610,"24","50","50",NA,NA
"64",1611,"1","12","12",NA,NA
"65",1678,"50","50","50",NA,NA
"66",1777,"24","24","24",NA,NA
"67",1830,"12","12","12",NA,NA
"68",1883,"50","50","50",NA,NA
"69",1928,"60","60","60",NA,NA
"70",1929,"50","50","50",NA,NA
"71",112,"2","2","3","na",NA
"72",169,"4","3","10","100",NA
"73",264,"50","na","4","3",NA
"74",423,"12","30","12","30",NA
"75",438,"50","50","50","50",NA
"76",439,"100","100","100","100",NA
"77",528,"12","2","50","12",NA
"78",529,"12","24","12","30",NA
"79",550,"50","50","50","50",NA
"80",553,"4","50","na","50",NA
"81",554,"4","50","na","50",NA
"82",693,"10","6","3","120",NA
"83",775,"50","50","50","50",NA
"84",814,"12","30","4","4",NA
"85",1218,"52","50","50","na",NA
"86",1251,"24","10","2","4",NA
"87",1290,"52","50","2","na",NA
"88",1291,"50","50","na","52",NA
"89",1385,"50","50","50","50",NA
"90",1457,"50","50","50","50",NA
"91",1776,"24","12","12","12",NA
"92",1927,"30","30","30","30",NA
"93",584,"6","24","150","4","1"
