grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	detection.history	season	interview.id1	interview.id2	interview.id3	interview.id4
51	GH	1	1	1			7	2		111	yearound	DG.O.1	DG.O.2	DG.O.7	
51	WH	1	1	0			50	0		110	12,1,2	DG.O.1	DG.O.1	DG.O.7	
51	RNH	0	0	1			0	50		001	na, yearound	DG.O.1	DG.O.1	DG.O.7	
51	OPH	1	1	1			5	4		111	12,1,2, yearound	DG.O.1	DG.O.1	DG.O.6	
71	GH	2	1	2		4	4	4		212	yearound	IP.O.1	IP.O.2	IP.O.3	
71	WH	2	2	2		10	8	9		222	yearound	IP.O.1	IP.O.2	IP.O.3	
71	OPH	0	0	0		0	0	0		000	6	IP.O.1	IP.O.2	IP.O.3	
71	RNH	2	2	2		5	7	20		222	9,10, yearound	IP.O.1	IP.O.2	IP.O.3	
83	GH	1	1	1			6	6		111	yearound	DG.O.1	DG.O.2	DG.O.5	
83	WH	1	1	1			25	40		111	yearound	DG.O.1	DG.O.2	DG.O.5	
83	RNH	0	0	0			0	0		000	na	DG.O.1	DG.O.2	DG.O.5	
83	OPH	1	0	1			0	15		101	na,yearound	DG.O.1	DG.O.2	DG.O.5	
84	GH	1	1	1			15	3		111	yearound	DG.O.1	DG.O.2	DG.O.6	
84	WH	1	1	1			100	20		111	10,11, yearound	DG.O.1	DG.O.2	DG.O.6	
84	RNH	0	0	0			0	0		000	na	DG.O.1	DG.O.2	DG.O.6	
84	OPH	1	0	1			0	6		101	na, yearound	DG.O.1	DG.O.2	DG.O.6	
92	GH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
92	WH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
92	OPH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
92	RNH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
93	GH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
93	WH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
93	OPH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
93	RNH	0	0	0						000		BJ.O.11	BJ.O.12	BJ.O.13	
112	GH	2	2	2		12	6	4		222	7,8	BH.O.272	BH.O.273	BH.O.274	
112	WH	0	0	0								BH.O.272	BH.O.273	BH.O.274	
112	OPH	0	0	0								BH.O.272	BH.O.273	BH.O.274	
112	RNH	2	2	2		2	7	10		222	5,6,7,8	BH.O.272	BH.O.273	BH.O.274	
116	GH	2	2			4				22	year round	TP.O.11	SS.O.11		
116	WH	2	0							20	11	TP.O.11	SS.O.11		
116	OPH	2	1							21	year round	TP.O.11	SS.O.11		
116	RNH	2	0			2				20	year round	TP.O.11	SS.O.11		
160	GH	0								0		SH.O.233			
160	WH	0										SH.O.233			
160	OPH	0										SH.O.233			
160	RNH	1				2				1	11	SH.O.233			
166	GH	2	2	2		8				222	year round	EF.O.12	EF.O.13	SC.O.11	
166	WH	2	2	2						222	year round	EF.O.12	EF.O.13	SC.O.11	
