grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	interview.1interview.2interview.3interview4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4
51	GH	0	0	0			0	0		0	6,7	DG.O.1	DG.O.2	DG.O.7	
51	WH	2	2	2			25	15		222	10,11,12,1,2, yearound	DG.O.1	DG.O.2	DG.O.7	
51	RNH	0	0	0			0	0		0	na	DG.O.1	DG.O.2	DG.O.7	
51	OPH	2	2	2			5	3		222	yearound	DG.O.1	DG.O.2	DG.O.6	
71	GH	2	1	2		8	4	4		212	5,6, 9,10,7	IP.O.1	IP.O.2	IP.O.3	
71	WH	2	2	0		15	12	0		220	yearound	IP.O.1	IP.O.2	IP.O.3	
71	OPH	2	0	2		2	0	9		202	9,10, 11, 12	IP.O.1	IP.O.2	IP.O.3	
71	RNH	2	2	2		2	8	3		222	9,10, yearound, 5, 6	IP.O.1	IP.O.2	IP.O.3	
83	GH	2	2	2			6	2		222	yearound, winter	DG.O.1	DG.O.4	DG.O.6	
83	WH	2	2	2			25	30		222	yearound, yearound	DG.O.1	DG.O.4	DG.O.6	
83	OPH	2	2	2			3	8		222	winter, yearound	DG.O.1	DG.O.4	DG.O.6	
83	RNH	0	0	0			0	0		0	0	DG.O.1	DG.O.4	DG.O.6	
84	GH	2	2	0			5	0		220	7,8,11,12	DG.O.1	DG.O.3	DG.O.5	
84	WH	0	2	2			20	30		22	7,8,9, yearound	DG.O.1	DG.O.3	DG.O.5	
84	RNH	0	0	0			0	0		0	na	DG.O.1	DG.O.3	DG.O.5	
84	OPH	2	0	2			0	4		202	yearound	DG.O.1	DG.O.3	DG.O.5	
92	GH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
92	WH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
92	OPH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
92	RNH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
93	GH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
93	WH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
93	OPH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
93	RNH	0	0	0						0		BJ.O.11	BJ.O.12	BJ.O.13	
112	GH	2	2	2	0	9	17	2	0	2220	6,7,1,2,8	BH.O.271	BH.O.272	BH.O.273	BH.O.274
112	WH	0	0	0	0							BH.O.271	BH.O.272	BH.O.273	BH.O.274
112	OPH	0	0	0	0							BH.O.271	BH.O.272	BH.O.273	BH.O.274
112	RNH	2	0	2	0	5	0	6	0	2220	6,7,8,5	BH.O.271	BH.O.272	BH.O.273	BH.O.274
116	GH	2	2			30				22	10,11,12	TP.O.11	SS.O.11		
116	WH	2	0			20				20	11	TP.O.11	SS.O.11		
116	OPH	2	1			2				21	year round	TP.O.11	SS.O.11		
116	RNH	2	2			2				22	year round	TP.O.11	SS.O.11		
166	GH	2	0	0		81				200	year round	EF.O.12	EF.O.13	SC.O.11	
166	WH	2	2	2		8				222	year round	EF.O.12	EF.O.13	SC.O.11	
166	OPH	2	2	2		8				222	year round	EF.O.12	EF.O.13	SC.O.11	
166	RNH	2	2	2		40				222	year round	EF.O.12	EF.O.13	SC.O.11	
168	GH	2	2	0		1	13	0		220	3,4,11	BP.O.1	BP.O.2	BP.O.3	
168	WH	2	2	2		2	3	25		222	yearound	BP.O.1	BP.O.2	BP.O.3	
168	OPH	0	2	2		0	16	12		22	7,8	BP.O.1	BP.O.2	BP.O.3	
168	RNH	0	0	0		0	0	0				BP.O.1	BP.O.2	BP.O.3	
169	GH	0	0	2	2	0	0	0	2	22	3,4,11	BP.O.1	BP.O.2	BP.O.3	BP.O.4
169	WH	0	2	2	2	0	20	6	20	222	11,12	BP.O.1	BP.O.2	BP.O.3	BP.O.4
