interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist to grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates
DG.O.1	51	15/11/25	darlong	gh,wh,oph,rnh	2	40	Nest monitor	logging	10	01/02/26	4	01/02/26	4	plantation	jhum	NA	logging	jhum	NA	yes	yes	peepal	yes	beak; tail	meat, ritual, export	7,8,9	m	54	nyishi	NA	3
DG.O.2	51	16/11/25	darlong	gh,wh,oph,rnh	2	30	wood, agriculture	forage	8	03/04/26	20	03/04/26	20	rubber	agriculture	NA	arecanut	agriculture	NA	yes	yes	kalakari, dawath, cluster ficus, lissia, lota ficus, peepal	yes	tail	meat,trophy, therapeutic oil	7,8,9	m	41	nyishi	NA	3
DG.O.7	51	19/11/25	darlong	gh,wh,oph,rnh	2	30	agriculture	forage	4	03/04/26	2	03/04/26	2	plantation	jhum	NA	logging	jhum	NA	no	yes	bhelu	yes	tail	meat, trophy, therapeutic oil	7,8,9	m	42	nyishi	NA	3
IP.O.1	71	28/11/25	yelloripam	gh,wh,oph,rnh	2	20	agriculture	agriculture	-	1	3	03/04/26	2	forest	jhum	orange & teak plantations	forest	jhum	NA	no	no	lamshing, rubber, bamchom, karshing	na	na	na	na	m	40	monpa	NA	3
IP.O.2	71	28/11/25	yelloripam	gh,wh,oph,rnh	1	40	agriculture	agriculture	-	1	25	1	25	forest	different plantations - hollong, kokun, banana, pineapple	jhum	forest	different plantations - hollong, kokun, banana, pineapple	jhum	no	no	bonchum, tokko patti, pani bonchum	na	na	na	na	m	40	monpa	NA	3
IP.O.3	71	28/11/25	yelloripam	gh,wh,oph,rnh	2	30	agriculture	agriculture, fishing	-	03/04/26	3	1	51	forest	jhum	NA	forest	jhum	NA	no	yes	ficus religiosa	yes	no	medicinal oil	no	m	41	monpa	NA	3
DG.O.1	83	15/11/25	darlong	gh,wh,oph,rnh	2	40	forage	forage	3	1	5	1	5	logging	jhum	NA	jhum	jhum	NA	no	yes	don't know	yes	beak, tail, feather, oil	meat, tradition, therapeutic oil	7,8,9	m	54	nyishi	NA	3
DG.O.4	83	16/11/25	darlong	gh,wh,oph,rnh	2	30	agriculture	forage	2	03/04/26	30	03/04/26	30	jhum	jhum	NA	agriculture	jhum	NA	yes	yes	khari, ficus, lisia, amsilin, ramtamool, boromtri, sanchar, toko, multiple types of jamun	yes	beak; tail	meat, ritual, export	7,8,9	m	41	nyishi	NA	3
DG.O.6	83	19/11/25	darlong	gh,wh,oph,rnh	2	30	random	forage	1	01/02/26	3	01/02/26	3	Tiger reserve	jhum	NA	jhum	timber	NA	yes	yes	peepal tokko	yes	beak, tail, feather, oil	meat, tradition, therapeutic oil	7,8,9	m	42	nyishi	NA	3
DG.O.1	84	15/11/25	darlong	gh,wh,oph,rnh	2	40	Nest monitor	forage	11	01/04/26	3	01/04/26	3	plantation	jhum	NA	logging	timber	NA	no	yes	peepal	yes	beak; tail	meat, ritual, export	7,8,9	m	54	nyishi	NA	3
