"","...1","fid","mean_elev","elev_band","geometry","aspect","canopy_height","slope","road_lenght"
"1",1,2,1272.31081222707,"1000-2000m","list(c(95.278777094427",95.2796743711683,95.3298968427064,"95.3289798402357, 95.278777094427, 26.6564048877334, 26.7015140501384, 26.7006983270308, 26.6555907569448, 26.6564048877334)),190.056260366266,21.536244688847,21.2985930317534",25165.6831483372
"2",2,3,1519.51215618861,"1000-2000m","list(c(95.3289798402357",95.3298968427064,95.3801171540231,"95.3791804294877, 95.3289798402357, 26.6555907569448, 26.7006983270308, 26.699864861617, 26.6547589184605, 26.6555907569448)),184.823369480338,24.1540868313213,24.0529321003818",14449.5870022226
"3",3,6,1159.85609192409,"1000-2000m","list(c(95.2294497858275",95.2303294006272,95.2805737617143,"95.2796743711683, 95.2294497858275, 26.7023120280629, 26.7474224346096, 26.7466228977896, 26.7015140501384, 26.7023120280629)),198.697226010147,20.1490531553808,19.9874126372481",18060.5874779063
"4",4,7,1124.03567304391,"1000-2000m","list(c(95.2796743711683",95.2805737617143,95.3308160054006,"95.3298968427064, 95.2796743711683, 26.7015140501384, 26.7466228977896, 26.7458055811424, 26.7006983270308, 26.7015140501384)),176.55926101348,18.7999527749327,23.2689832677773",15262.9606387965
"5",5,8,1119.7556336702,"1000-2000m","list(c(95.3298968427064",95.3308160054006,95.3810560851887,"95.3801171540231, 95.3298968427064, 26.7006983270308, 26.7458055811424, 26.7449704875519, 26.699864861617, 26.7006983270308)),201.485004432451,16.9997667359297,22.6510849280753",29061.2070550953
"6",6,9,1727.98512251124,"1000-2000m","list(c(95.3801171540231",95.3810560851887,95.4312939545931,"95.4303352587115, 95.3801171540231, 26.699864861617, 26.7449704875519, 26.7441176199643, 26.6990136568358, 26.699864861617)),200.928597200564,31.5628815366888,28.6612046208783",1795.47202823305
"7",7,12,1101.73148823334,"1000-2000m","list(c(95.2303294006272",95.2312110863203,95.2814752696629,"95.2805737617143, 95.2303294006272, 26.7474224346096, 26.792532527191, 26.7917314302778, 26.7466228977896, 26.7474224346096)),195.090940736129,18.5486883236286,20.1451499928878",22503.7228447936
"8",8,13,939.586560793422,"0-1000m","list(c(95.2805737617143",95.2814752696629,95.331737331995,"95.3308160054006, 95.2805737617143, 26.7466228977896, 26.7917314302778, 26.790912518867, 26.7458055811424, 26.7466228977896)),160.093744909193,17.1124390184109,20.3198557052429",11677.8534281234
"9",9,14,848.390765054917,"0-1000m","list(c(95.3308160054006",95.331737331995,95.38199722674,"95.3810560851887, 95.3308160054006, 26.7458055811424, 26.790912518867, 26.7900757958492, 26.7449704875519, 26.7458055811424)),185.266563926465,17.3522355172424,21.6626230619279",28088.0968762679
"10",10,15,1159.57755319817,"1000-2000m","list(c(95.3810560851887",95.38199722674,95.4322549073337,"95.4312939545931, 95.3810560851887, 26.7449704875519, 26.7900757958492, 26.7892212641781, 26.7441176199643, 26.7449704875519)),175.178850781303,22.7313643878305,27.247721497948",20262.8676342222
"11",11,16,1490.33530605343,"1000-2000m","list(c(95.4312939545931",95.4322549073337,95.4825103272238,"95.4815295671406, 95.4312939545931, 26.7441176199643, 26.7892212641781, 26.7883489268697, 26.7432469813882, 26.7441176199643)),212.242645099571,25.759192247539,25.2633667213593",12072.160282709
"12",12,19,873.959988764396,"0-1000m","list(c(95.2312110863203",95.2320948464376,95.2823788986241,"95.2814752696629, 95.2312110863203, 26.792532527191, 26.8376423054017, 26.8368396471945, 26.7917314302778, 26.792532527191)),167.598343705233,19.9702172894119,22.2706557791849",6920.07668220716
"13",13,20,940.278986298805,"0-1000m","list(c(95.2814752696629",95.2823788986241,95.3326608261784,"95.331737331995, 95.2814752696629, 26.7917314302778, 26.8368396471945, 26.8360191397924, 26.790912518867, 26.7917314302778)),157.018522313499,16.8864096678369,19.713107070247",26878.8558856125
